Name,Price,Reviews,Size,Category,Rating,bath-personal-care,beauty,grocery,healthy-home,pets,sports-nutrition,supplements
"California Gold Nutrition, Gold C, Vitamin C, 1,000 mg, 60 Veggie Capsules",5.45,121799.0,0.0,supplements,4.8,0,0,0,0,0,0,1
"California Gold Nutrition, CollagenUP, Marine Hydrolyzed Collagen + Hyaluronic Acid + Vitamin C, Unflavored, 7.26 oz (206 g)",26.44,88657.0,206.0,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, Gold C, Vitamin C, 500 mg, 240 Veggie Capsules",14.0,8765.0,0.5,supplements,4.8,0,0,0,0,0,0,1
"21st Century, Magnesium, 250 mg, 110 Tablets",3.45,14589.0,0.25,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, Iron, Double Strength, 36 mg, 90 Veg Capsules",13.85,12121.0,0.036000000000000004,supplements,4.8,0,0,0,0,0,0,1
"Doctor's Best, High Absorption Magnesium 100% Chelated with Albion Minerals, 100 mg, 120 Tablets",14.83,46744.0,0.1,supplements,4.7,0,0,0,0,0,0,1
"Doctor's Best, High Absorption Magnesium 100% Chelated with Albion Minerals, 100 mg, 240 Tablets",27.98,46744.0,0.1,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Zinc, 50 mg, 250 Tablets",12.91,8633.0,0.05,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, CollagenUP, Marine Hydrolyzed Collagen + Hyaluronic Acid + Vitamin C, Unflavored, 16.37 oz (464 g)",54.44,88657.0,464.0,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, Silymarin Complex, Liver Health, Milk Thistle, Curcumin, Artichoke, Dandelion, Ginger, Black Pepper, 300 mg, 120 Veggie Capsules",21.78,19480.0,0.3,supplements,4.7,0,0,0,0,0,0,1
"21st Century, Zinc Citrate, 50 mg, 60 Tablets",3.11,4338.0,0.05,supplements,4.8,0,0,0,0,0,0,1
"Arthur Andrew Medical, Syntol AMD, Advanced Microflora Delivery, 500 mg, 360 Capsules",202.2,1103.0,0.5,supplements,4.5,0,0,0,0,0,0,1
"California Gold Nutrition, Gold C, Vitamin C, 1,000 mg, 240 Veggie Capsules",23.33,121799.0,0.0,supplements,4.8,0,0,0,0,0,0,1
"California Gold Nutrition, Lutein with Zeaxanthin, 20 mg, 60 Veggie Softgels",10.89,12797.0,0.02,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, SPORT  - Whey Protein Isolate, 1 lb, 16 oz (454 g)",18.66,9845.0,454.0,supplements,4.6,0,0,0,0,0,0,1
"Doctor's Best, High Absorption CoQ10 with BioPerine, 100 mg, 120 Softgels",29.0,12241.0,0.1,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, L-Cysteine, 500 mg, 100 Tablets",14.02,7431.0,0.5,supplements,4.3,0,0,0,0,0,0,1
"Doctor's Best, Lutein with OptiLut, 20 mg, 120 Veggie Caps",20.92,8178.0,0.02,supplements,4.5,0,0,0,0,0,0,1
"Life Extension, Magnesium Caps, 500 mg, 100 Vegetarian Capsules",14.0,8122.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"21st Century, Vitamin C, 1,000 mg, 60 Tablets",4.67,9317.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"Solaray, Timed Release Vitamin C, 1,000 mg, 100 Tablets",13.44,7203.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"Solgar, Omega-3, EPA & DHA, Triple Strength, 950 mg, 100 Softgels",49.85,22483.0,0.95,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, L-Arginine, Double Strength, 1,000 mg, 120 Tablets",25.85,5142.0,0.0,supplements,4.6,0,0,0,0,0,0,1
"California Gold Nutrition, MEM Food, Memory and Cognitive Support, Individual Packet, 0.3 oz (8.5 g)",1.55,1807.0,8.5,supplements,4.5,0,0,0,0,0,0,1
"Life Extension, Zinc Caps, High Potency, 50 mg, 90 Vegetarian Capsules",10.5,10746.0,0.05,supplements,4.8,0,0,0,0,0,0,1
"Doctor's Best, Extra Strength Ginkgo, 120 mg, 120 Veggie Caps",14.8,21216.0,0.12,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Zinc Picolinate, 50 mg, 120 Veg Capsules",13.85,8583.0,0.05,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Glutathione, 500 mg, 60 Veg Capsules",40.63,5109.0,0.5,supplements,4.5,0,0,0,0,0,0,1
"21st Century, Vitamin C, 250 mg, 110 Tablets",4.06,4063.0,0.25,supplements,4.7,0,0,0,0,0,0,1
"21st Century, Potassium Gluconate, 595 mg, 110 Tablets",3.45,3626.0,0.595,supplements,4.5,0,0,0,0,0,0,1
"Life Extension, Magnesium Caps, 500 mg, 100 Vegetarian Capsules",14.0,8122.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, Antarctic Krill Oil, with Astaxanthin, RIMFROST, Natural Strawberry & Lemon Flavor, 500 mg, 120 Fish Gelatin Softgels",35.78,13550.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"KAL, Magnesium Glycinate 400, 200 mg, 90 Tablets",23.32,18923.0,0.2,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Double Strength Silymarin, 300 mg, 200 Veg Capsules",29.79,17209.0,0.3,supplements,4.7,0,0,0,0,0,0,1
"21st Century, Magnesium, 250 mg, 110 Tablets",3.45,14589.0,0.25,supplements,4.6,0,0,0,0,0,0,1
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 16 oz (454 g)",29.15,37351.0,454.0,supplements,4.9,0,0,0,0,0,0,1
"Now Foods, Glutathione, 500 mg, 30 Veg Capsules",22.15,5109.0,0.5,supplements,4.5,0,0,0,0,0,0,1
"Doctor's Best, MSM with OptiMSM, 1,500 mg, 120 Tablets",13.08,8270.0,0.5,supplements,4.5,0,0,0,0,0,0,1
"Solaray, Zinc, 50 mg, 100 VegCaps",7.53,3208.0,0.05,supplements,4.8,0,0,0,0,0,0,1
"Doctor's Best, Extra Strength Ginkgo, 120 mg, 120 Veggie Caps",14.8,21216.0,0.12,supplements,4.7,0,0,0,0,0,0,1
"KAL, Magnesium Taurate+, 200 mg, 90 Tablets",21.76,11123.0,0.2,supplements,4.9,0,0,0,0,0,0,1
"Vital Proteins, Collagen Peptides, Unflavored, 1.25 lbs (567 g)",66.89,9047.0,567.0,supplements,4.8,0,0,0,0,0,0,1
"Doctor's Best, High Absorption CoQ10 with BioPerine, 100 mg, 120 Softgels",29.0,12241.0,0.1,supplements,4.7,0,0,0,0,0,0,1
"Doctor's Best, Lutein with OptiLut, 20 mg, 120 Veggie Caps",20.92,8178.0,0.02,supplements,4.5,0,0,0,0,0,0,1
"Now Foods, Sunflower Lecithin, Pure Powder, 1 lb (454 g)",22.15,14388.0,454.0,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Inositol Capsules, 500 mg, 100 Veg Capsules",9.22,8240.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, Ferrochel Iron (Bisglycinate), 36 mg, 90 Veggie Capsules",10.89,6804.0,0.036000000000000004,supplements,4.7,0,0,0,0,0,0,1
"Natural Factors, Zinc Citrate, 50 mg, 90 Tablets",6.56,5449.0,0.05,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Chlorophyll, 100 mg, 90 Veg Capsules",14.76,6520.0,0.1,supplements,4.7,0,0,0,0,0,0,1
"Solaray, Timed Release Vitamin C, 1,000 mg, 100 Tablets",13.44,7203.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"Optimum Nutrition, Gold Standard 100% Whey, Double Rich Chocolate, 5 lbs (2.27 kg)",93.32,18981.0,2270.0,supplements,4.6,0,0,0,0,0,0,1
"Solaray, Magnesium Glycinate, 100 mg, 120 VegCaps",18.42,9741.0,0.1,supplements,4.8,0,0,0,0,0,0,1
"California Gold Nutrition, MEM Food, Memory and Cognitive Support, Individual Packet, 0.3 oz (8.5 g)",1.55,1807.0,8.5,supplements,4.5,0,0,0,0,0,0,1
"Now Foods, GABA with Vitamin B-6, 500 mg, 100 Veg Capsules",12.0,9837.0,0.5,supplements,4.6,0,0,0,0,0,0,1
"Natural Factors, Magnesium Citrate, 150 mg, 90 Capsules",9.48,9374.0,0.15,supplements,4.8,0,0,0,0,0,0,1
"Sports Research, Collagen Peptides, Unflavored, 16 oz (454 g)",39.2,12234.0,454.0,supplements,4.8,0,0,0,0,0,0,1
"California Gold Nutrition, CoQ10, 100 mg, 30 Veggie Softgels",7.78,14780.0,0.1,supplements,4.6,0,0,0,0,0,0,1
"Natural Factors, BlueRich, Super Strength, Blueberry Concentrate, 500 mg, 90 Softgels",13.1,6123.0,0.5,supplements,4.6,0,0,0,0,0,0,1
